group,metric,lead,fp32_mean,group_mean,mean_delta,ci_lo,ci_hi,rel_pct,svr,svr_ci_lo,svr_ci_hi,share,norm,rank,significant,lag1_autocorr,n,n_eff
encoder_io,RMSE Z500,24,39.31072394053141,39.230271339416504,-0.08045260111490886,-0.222685178120931,0.06306242148081419,-0.2046581518992532,-0.05712739715779384,-0.1581232233063382,0.04477906180461649,-0.02744066631673986,share,6,False,0.6321951376980237,12,2.7041241856954343
enc0_attn,RMSE Z500,24,39.31072394053141,39.63690757751465,0.32618363698323566,0.26977699597676597,0.3772037347157796,0.8297573900615024,0.23161491260798825,0.19156195548219868,0.26784301891910134,0.11125428160679944,share,3,True,0.3130115201308485,12,6.278590577490343
enc0_mlp,RMSE Z500,24,39.31072394053141,39.306861559549965,-0.0038623809814453125,-0.029145224889119466,0.013090133666992188,-0.009825260372432358,-0.0027425809637476985,-0.020695301511953257,0.009294979335407632,-0.0013173757744461845,share,17,False,-0.26576072957619035,12,20.686892361596215
enc1_attn,RMSE Z500,24,39.31072394053141,39.368581771850586,0.05785783131917318,0.0384276549021403,0.07965937455495199,0.14718078305222645,0.041083411383283946,0.027286524898079412,0.056564146646327536,0.01973407224922451,share,8,True,-0.1457176381158633,12,16.09375573091258
enc1_mlp,RMSE Z500,24,39.31072394053141,39.32550621032715,0.014782269795735678,-0.04433377583821615,0.07137290636698404,0.0376036570023438,0.010496523242405905,-0.031480314927257745,0.050680131056410886,0.005041916945475064,share,15,False,-0.07674228067050003,12,13.994908569439946
enc2_attn,RMSE Z500,24,39.31072394053141,39.36030260721842,0.04957866668701172,0.03947153886159261,0.05730486710866292,0.12611995332880024,0.035204581867247314,0.028027761013653948,0.040690765208640726,0.016910225774354023,share,10,True,-0.3274027947488612,12,23.682574671178894
enc2_mlp,RMSE Z500,24,39.31072394053141,39.36683750152588,0.05611356099446615,0.038388172785441085,0.07458444436391194,0.1427436469482317,0.039844848276445785,0.02725848962600555,0.05296056455508427,0.019139138843925235,share,9,True,0.03200737201438251,12,11.255647828517183
downsample,RMSE Z500,24,39.31072394053141,39.60247929890951,0.29175535837809247,0.2282690127690633,0.35931487878163654,0.7421775259581964,0.207168245650309,0.1620881658338234,0.2551405858903827,0.09951153007395412,share,4,True,-0.29817563251175694,12,22.19658979053908
dec0_attn,RMSE Z500,24,39.31072394053141,39.32435162862142,0.01362768809000651,0.0033302783966064455,0.022278467814127605,0.03466659151488088,0.00967668340204939,0.0023647481122111486,0.015819387580359362,0.004648113751006871,share,16,True,-0.20796716381061334,12,18.30177399647765
dec0_mlp,RMSE Z500,24,39.31072394053141,39.38017177581787,0.06944783528645833,0.048095512390136715,0.09095487594604491,0.17666384214016975,0.04931318581598166,0.034151430777168194,0.06458480210212485,0.02368717540647006,share,7,True,0.06558453436769424,12,10.522849408884607
dec1_attn,RMSE Z500,24,39.31072394053141,39.44733428955078,0.1366103490193685,0.11027913888295492,0.15891202290852866,0.3475142030607991,0.09700362146337221,0.0783064820513132,0.11283948710219689,0.04659487637322872,share,5,True,-0.006193237562349472,12,12.149563986797396
dec1_mlp,RMSE Z500,24,39.31072394053141,39.32666015625,0.01593621571858724,-0.001027687390645345,0.032140358289082835,0.04053910516299642,0.011315911629105833,-0.000729735333673058,0.02282207147226686,0.005435503287963924,share,14,False,-0.36852755691264194,12,26.006409088353255
dec2_attn,RMSE Z500,24,39.31072394053141,39.34079074859619,0.030066808064778645,0.011469864845275879,0.04643635749816894,0.07648500218480635,0.021349694873513153,0.008144466621115473,0.032973306028605216,0.010255146954622964,share,12,True,0.03445255204606404,12,11.200677452561674
dec2_mlp,RMSE Z500,24,39.31072394053141,39.3547560373942,0.04403209686279297,0.0283875306447347,0.05770746866861979,0.11201039423594429,0.03126610016720864,0.020157281616719296,0.04097664259350183,0.015018409106655502,share,11,True,-0.1909384809467236,12,17.663998886121306
upsample,RMSE Z500,24,39.31072394053141,39.283400535583496,-0.027323404947916668,-0.06598842144012451,-0.0020428180694580422,-0.06950623699846141,-0.01940167234535327,-0.046856741822947606,-0.0014505544576286066,-0.009319430663802341,share,13,True,0.4491479084528939,12,4.56145646694017
decoder_io,RMSE Z500,24,39.31072394053141,39.88883145650228,0.5781075159708658,0.4602638880411784,0.7190261363983154,1.4706102000192542,0.41049981240013894,0.32682197424498455,0.5105626305629626,0.19718014360154923,share,2,True,0.2890154582320523,12,6.618861276432769
decoder_heads,RMSE Z500,24,39.31072394053141,41.47448921203613,2.16376527150472,1.989186175664266,2.2666190544764198,5.504262080693368,1.5364360668083514,1.412471779696222,1.6094699877453957,0.7380141845048203,share,1,True,-0.0915906860364504,12,14.419808373918777
encoder_io,RMSE T850,24,0.619096964597702,0.6266578733921051,0.007560908794403076,0.006564244876305262,0.00847008042037487,1.2212802237394689,0.4529235385607789,0.393220061000665,0.5073859373532393,0.8961520867957252,share,1,True,-0.11738745745050806,12,15.191999708812448
enc0_attn,RMSE T850,24,0.619096964597702,0.6186739752689997,-0.00042298932870229083,-0.0006746351718902588,-0.00017522076765696238,-0.0683235991921161,-0.025338465089157994,-0.040412886545633665,-0.010496305705376912,-0.050134551271069444,share,7,True,0.27237264311670634,12,6.862398629706028
enc0_mlp,RMSE T850,24,0.619096964597702,0.6194727520147959,0.0003757874170939128,0.00012476742267608643,0.0005094709495703377,0.060699282759059364,0.02251091387622374,0.007473982838860951,0.030519001293089265,0.04453997359015524,share,8,True,-0.4982816917494857,12,35.83560736240164
enc1_attn,RMSE T850,24,0.619096964597702,0.6195753614107767,0.00047839681307474774,0.00018957232435544332,0.0007495857775211331,0.07727332557438991,0.028657557352683372,0.011356011597946778,0.044902676654560526,0.056701689441183936,share,6,True,0.27562930786662826,12,6.81424317550196
enc1_mlp,RMSE T850,24,0.619096964597702,0.6183084348837534,-0.0007885297139485677,-0.0010149769484996795,-0.0005270325889190047,-0.12736772412718347,-0.0472355477381605,-0.0608004888793781,-0.03157100179369237,-0.09346000168373063,share,5,True,-0.2479303845089258,12,19.911939407801857
enc2_attn,RMSE T850,24,0.619096964597702,0.6189697980880737,-0.0001271665096282959,-0.00020936653017997742,-7.139965891838088e-05,-0.020540644987805827,-0.007617696112126998,-0.012541750242444758,-0.004277076611912607,-0.015072332714591763,share,13,True,-0.5137686256009458,12,37.35921716212208
enc2_mlp,RMSE T850,24,0.619096964597702,0.6191471467415491,5.018214384714762e-05,-3.15705935160319e-05,0.00013065834840138754,0.008105700191852286,0.0030060770182336947,-0.0018911833641387077,0.007826868847336172,0.005947807882802928,share,16,False,-0.16406205586760128,12,16.71026512010896
downsample,RMSE T850,24,0.619096964597702,0.6220670938491821,0.0029701292514801025,0.002219508091608683,0.003490323821703593,0.47975186785322627,0.1779206028194724,0.13295590332472074,0.20908198459148036,0.3520327515043191,share,2,True,-0.1264590647737042,12,15.474385037013363
dec0_attn,RMSE T850,24,0.619096964597702,0.619173934062322,7.696946461995442e-05,-3.486896554629008e-05,0.00018841574589411404,0.01243253787715956,0.0046107264648668055,-0.0020887667991538604,0.011286728708340146,0.00912275868077939,share,14,False,-0.04917152995915533,12,13.241145754679636
dec0_mlp,RMSE T850,24,0.619096964597702,0.6191474546988806,5.0490101178487144e-05,-3.180652856826782e-05,0.00013528379301230107,0.008155443180261162,0.0030245246847813035,-0.0019053166570582466,0.008103948335736117,0.005984308336998097,share,15,False,-0.061675922524803445,12,13.577516954033836
dec1_attn,RMSE T850,24,0.619096964597702,0.6191117862860361,1.4821688334147135e-05,-7.714554667472839e-05,0.00012618626157442727,0.0023940818937431677,0.0008878683383558691,-0.004621274364529914,0.007558975999333924,0.0017567315373932435,share,17,False,-0.18169110662698548,12,17.328778159887285
dec1_mlp,RMSE T850,24,0.619096964597702,0.6194237222274145,0.00032675762971242267,0.00020835337539513906,0.000455229232708613,0.052779717620608006,0.019573866836039157,0.01248105890721817,0.027269742373736864,0.038728748052082616,share,9,True,-0.33090387152154493,12,23.8692854113156
dec2_attn,RMSE T850,24,0.619096964597702,0.6189513901869456,-0.00014557441075642905,-0.00023497554163138073,-7.031125326951349e-05,-0.023513992004632965,-0.008720390502859858,-0.014075815048807604,-0.004211877500102202,-0.01725411792825777,share,10,True,0.38981835204029625,12,5.268443724870418
dec2_mlp,RMSE T850,24,0.619096964597702,0.6192377706368765,0.0001408060391743978,2.2279098629951477e-05,0.0002561509609222412,0.0227437779905601,0.008434749214380758,0.0013345919732416073,0.015344292965486653,0.016688949605235814,share,12,True,0.5282950346202829,12,3.70377411188998
upsample,RMSE T850,24,0.619096964597702,0.6189538240432739,-0.00014314055442810059,-0.0002496164292097092,-1.5477339426676433e-05,-0.02312086193494994,-0.008574594428531982,-0.014952852821641976,-0.0009271440155217454,-0.016965646596715313,share,11,True,-0.12208864911035443,12,15.337612135529644
decoder_io,RMSE T850,24,0.619096964597702,0.6170779913663864,-0.002018973231315613,-0.002386432886123657,-0.0016399574776490538,-0.3261158343148347,-0.12094319942913043,-0.14295525269674575,-0.09823889747431612,-0.23929756642052408,share,4,True,0.16403115291301656,12,8.618004887531928
decoder_heads,RMSE T850,24,0.619096964597702,0.6213680555423101,0.0022710909446080527,0.00185785007973512,0.002773474405209223,0.36683929569640833,0.1360458874714452,0.11129138772999686,0.16614032464523149,0.26917966406630367,share,3,True,-0.03211598634170065,12,12.79635954445357
encoder_io,RMSE Q700,24,0.0006135621758100266,0.0006167937293260669,3.2315535160402456e-06,2.265973307657987e-06,4.174816664696361e-06,0.5266872117359481,0.3951868751123824,0.277106012973816,0.5105385826659807,1.1856769177582709,share,1,True,0.4334339991749576,12,4.743010151715177
enc0_attn,RMSE Q700,24,0.0006135621758100266,0.000613198455539532,-3.6372027049462e-07,-4.550900484900922e-07,-2.63081286296559e-07,-0.05928009985531384,-0.04447937389813886,-0.05565298958066283,-0.03217222642794952,-0.13345121072749544,share,3,True,-0.1755464578202934,12,17.110190898747703
enc0_mlp,RMSE Q700,24,0.0006135621758100266,0.0006134553113952279,-1.0686441479871671e-07,-2.1348096197471024e-07,3.066876767358428e-08,-0.017417047368937632,-0.01306845575522641,-0.026106599763864285,0.0037504854554667637,-0.03920921294592783,share,8,False,0.49656601858464294,12,4.036713183356705
